#
# Unicode mapping table for font Solarize.12x29.psf
#
0x000	U+fffd
0x001	U+2592 U+2593
0x002	U+2502 U+2503 U+2551 U+f803
0x003	U+2524 U+252b U+2561 U+2562 U+2563
0x004	U+2510 U+2513 U+2555 U+2556 U+2557
0x005	U+2514 U+2517 U+2558 U+2559 U+255a
0x006	U+2534 U+253b U+2567 U+2568 U+2569
0x007	U+252c U+2533 U+2564 U+2565 U+2566
0x008	U+251c U+2523 U+255e U+255f U+2560
0x009	U+2500 U+2501 U+2550 U+2014 U+f801
0x00a	U+253c U+254b U+256a U+256b U+256c
0x00b	U+2518 U+251b U+255b U+255c U+255d
0x00c	U+250c U+250f U+2552 U+2553 U+2554
0x00d	U+2588 U+2584 U+258c U+2590 U+2580
0x00e	U+2591
0x00f	U+25a0
0x010	U+00a2
0x011	U+00a3
0x012	U+00a5
0x013	U+20ac
0x014	U+20b4
0x015	U+00bc
0x016	U+00bd
0x017	U+00be
0x018	U+2190
0x019	U+2191
0x01a	U+2192
0x01b	U+2193
0x01c	U+00a4 U+20a1 U+20a2 U+20a3 U+20a6 U+20a7 U+20a8 U+20a9 U+20ab U+20af U+20b1 U+20b2 U+20b5
0x01d
0x01e
0x01f   U+F8FF
0x020	U+0020 U+00a0 U+2000 U+2001 U+2002 U+2003 U+2004 U+2005 U+2006 U+2007 U+2008 U+2009 U+200a U+202f
0x021	U+0021
0x022	U+0022 U+201d U+2033 # "
0x023	U+0023
0x024	U+0024
0x025	U+0025
0x026	U+0026 # Ampersand
0x027	U+0027 U+00b4 U+0374 U+0384 U+2019 U+2032 # '
0x028	U+0028
0x029	U+0029
0x02a	U+002a
0x02b	U+002b
0x02c	U+002c U+0375 U+201a # ,
0x02d	U+002d U+2010 U+2012 U+2013 U+2212
0x02e	U+002e
0x02f	U+002f
0x030	U+0030
0x031	U+0031
0x032	U+0032
0x033	U+0033
0x034	U+0034
0x035	U+0035
0x036	U+0036
0x037	U+0037
0x038	U+0038
0x039	U+0039
0x03a	U+003a
0x03b	U+003b U+037e
0x03c	U+003c
0x03d	U+003d
0x03e	U+003e
0x03f	U+003f
0x040	U+0040
0x041	U+0041 U+0391 U+0410
0x042	U+0042 U+0392 U+0412
0x043	U+0043 U+0421
0x044	U+0044
0x045	U+0045 U+0395 U+0415
0x046	U+0046
0x047	U+0047
0x048	U+0048 U+0397 U+041d
0x049	U+0049 U+0399 U+0406
0x04a	U+004a U+0408
0x04b	U+004b U+039a U+041a U+212a
0x04c	U+004c
0x04d	U+004d U+039c U+041c
0x04e	U+004e U+039d
0x04f	U+004f U+039f U+041e
0x050	U+0050 U+03a1 U+0420
0x051	U+0051
0x052	U+0052
0x053	U+0053 U+0405
0x054	U+0054 U+03a4 U+0422
0x055	U+0055
0x056	U+0056
0x057	U+0057
0x058	U+0058 U+03a7 U+0425
0x059	U+0059 U+03a5
0x05a	U+005a U+0396
0x05b	U+005b
0x05c	U+005c
0x05d	U+005d
0x05e	U+005e
0x05f	U+005f U+f804
0x060	U+0060 U+2018 U+201b # `
0x061	U+0061 U+0430
0x062	U+0062
0x063	U+0063 U+0441
0x064	U+0064
0x065	U+0065 U+0435
0x066	U+0066 U+0192
0x067	U+0067
0x068	U+0068
0x069	U+0069 U+0456
0x06a	U+006a U+0458
0x06b	U+006b
0x06c	U+006c
0x06d	U+006d
0x06e	U+006e U+006e
0x06f	U+006f U+03bf U+043e
0x070	U+0070 U+0440
0x071	U+0071
0x072	U+0072
0x073	U+0073 U+0455
0x074	U+0074
0x075	U+0075
0x076	U+0076
0x077	U+0077
0x078	U+0078 U+0445
0x079	U+0079 U+0443
0x07a	U+007a
0x07b	U+007b
0x07c	U+007c U+23aa
0x07d	U+007d
0x07e	U+007e
0x07f	U+00c6
0x080	U+00e6
0x081	U+00d0 U+0110
0x082	U+00f0
0x083	U+00d8
0x084	U+00f8
0x085	U+00de
0x086	U+00fe
0x087	U+014a
0x088	U+014b
0x089	U+0152
0x08a	U+0153
0x08b	U+018f
0x08c	U+0259
0x08d	U+01b7
0x08e	U+0292
0x08f	U+00df
0x090	U+00c0
0x091	U+00c1
0x092	U+00c2
0x093	U+00c3
0x094	U+00c4 U+04d2
0x095	U+00c5 U+212b
0x096	U+0100
0x097	U+0102
0x098	U+0104
0x099	U+00c7
0x09a	U+0106
0x09b	U+0108
0x09c	U+010a
0x09d	U+010c
0x09e	U+010e
0x09f	U+00c8 U+0400
0x0a0	U+00c9
0x0a1	U+00ca
0x0a2	U+00cb U+0401
0x0a3	U+0112
0x0a4	U+0116
0x0a5	U+0118
0x0a6	U+011a
0x0a7	U+011c
0x0a8	U+011e
0x0a9	U+0120
0x0aa	U+0122
0x0ab	U+01e4
0x0ac	U+01e6
0x0ad	U+0124
0x0ae	U+0126
0x0af	U+00cc
0x0b0	U+00cd
0x0b1	U+00ce
0x0b2	U+00cf U+03aa U+0407
0x0b3	U+012a
0x0b4	U+012e
0x0b5	U+0130
0x0b6	U+0134
0x0b7	U+0136
0x0b8	U+01e8
0x0b9	U+0139
0x0ba	U+013b
0x0bb	U+013d
0x0bc	U+013f
0x0bd	U+0141
0x0be	U+00d1
0x0bf	U+0143
0x0c0	U+0145
0x0c1	U+0147
0x0c2	U+00d2
0x0c3	U+00d3
0x0c4	U+00d4
0x0c5	U+00d5
0x0c6	U+00d6
0x0c7	U+014c
0x0c8	U+0150
0x0c9	U+0154
0x0ca	U+0158
0x0cb	U+015a
0x0cc	U+015c
0x0cd	U+015e
0x0ce	U+0160
0x0cf	U+0218
0x0d0	U+0164
0x0d1	U+0166
0x0d2	U+021a U+0162
0x0d3	U+00d9
0x0d4	U+00da
0x0d5	U+00db
