#
# Unicode mapping table for font Solarize.12x29.psf
#
0x000	[�]
0x001	[▒] [▓]
0x002	[│] [┃] [║] []
0x003	[┤] [┫] [╡] [╢] [╣]
0x004	[┐] [┓] [╕] [╖] [╗]
0x005	[└] [┗] [╘] [╙] [╚]
0x006	[┴] [┻] [╧] [╨] [╩]
0x007	[┬] [┳] [╤] [╥] [╦]
0x008	[├] [┣] [╞] [╟] [╠]
0x009	[─] [━] [═] [—] []
0x00a	[┼] [╋] [╪] [╫] [╬]
0x00b	[┘] [┛] [╛] [╜] [╝]
0x00c	[┌] [┏] [╒] [╓] [╔]
0x00d	[█] [▄] [▌] [▐] [▀]
0x00e	[░]
0x00f	[■]
0x010	[¢]
0x011	[£]
0x012	[¥]
0x013	[€]
0x014	[₴]
0x015	[¼]
0x016	[½]
0x017	[¾]
0x018	[←]
0x019	[↑]
0x01a	[→]
0x01b	[↓]
0x01c	[¤] [₡] [₢] [₣] [₦] [₧] [₨] [₩] [₫] [₯] [₱] [₲] [₵]
0x01d
0x01e
0x01f   []
0x020	[ ] [ ] [ ] [ ] [ ] [ ] [ ] [ ] [ ] [ ] [ ] [ ] [ ] [ ]
0x021	[!]
0x022	["] [”] [″] # "
0x023	[#]
0x024	[$]
0x025	[%]
0x026	[&] # Ampersand
0x027	['] [´] [ʹ] [΄] [’] [′] # '
0x028	[(]
0x029	[)]
0x02a	[*]
0x02b	[+]
0x02c	[,] [͵] [‚] # ,
0x02d	[-] [‐] [‒] [–] [−]
0x02e	[.]
0x02f	[/]
0x030	[0]
0x031	[1]
0x032	[2]
0x033	[3]
0x034	[4]
0x035	[5]
0x036	[6]
0x037	[7]
0x038	[8]
0x039	[9]
0x03a	[:]
0x03b	[;] [;]
0x03c	[<]
0x03d	[=]
0x03e	[>]
0x03f	[?]
0x040	[@]
0x041	[A] [Α] [А]
0x042	[B] [Β] [В]
0x043	[C] [С]
0x044	[D]
0x045	[E] [Ε] [Е]
0x046	[F]
0x047	[G]
0x048	[H] [Η] [Н]
0x049	[I] [Ι] [І]
0x04a	[J] [Ј]
0x04b	[K] [Κ] [К] [K]
0x04c	[L]
0x04d	[M] [Μ] [М]
0x04e	[N] [Ν]
0x04f	[O] [Ο] [О]
0x050	[P] [Ρ] [Р]
0x051	[Q]
0x052	[R]
0x053	[S] [Ѕ]
0x054	[T] [Τ] [Т]
0x055	[U]
0x056	[V]
0x057	[W]
0x058	[X] [Χ] [Х]
0x059	[Y] [Υ]
0x05a	[Z] [Ζ]
0x05b	[[]
0x05c	[\]
0x05d	[]]
0x05e	[^]
0x05f	[_] []
0x060	[`] [‘] [‛] # `
0x061	[a] [а]
0x062	[b]
0x063	[c] [с]
0x064	[d]
0x065	[e] [е]
0x066	[f] [ƒ]
0x067	[g]
0x068	[h]
0x069	[i] [і]
0x06a	[j] [ј]
0x06b	[k]
0x06c	[l]
0x06d	[m]
